Ignore Changes,Cell ID,Hidden Is Selected,Is Selected,Hidden Is Enabled,Is Enabled,Hidden Is Critical,Is Critical,UFO Linux Graphics Driver,Operating System,XCode HSW machine,Operation
FALSE,17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=17.AVC_ENCODE.PRG.High_CABAC.1280x720p
FALSE,18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=18.AVC_ENCODE.PRG.High_CAVLC.1280x720p
FALSE,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=19.AVC_ENCODE.PRG.baseline.176x144p
FALSE,20,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=20.AVC_ENCODE.PRG.Cons_baseline.176x144p
FALSE,21,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=21.AVC_ENCODE.PRG.Main_CAVLC.176x144p
FALSE,22,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=22.AVC_ENCODE.PRG.Main_CABAC.176x144p
FALSE,23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=23.AVC_ENCODE.PRG.High_CAVLC.176x144p
FALSE,24,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=24.AVC_ENCODE.PRG.High_CABAC.176x144p
FALSE,25,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=25.AVC_ENCODE.PRG.baseline.320x240p
FALSE,26,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=26.AVC_ENCODE.PRG.Cons_baseline.320x240p
FALSE,27,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,prod-alpha-linux-main-25111,Linux CENTOS 7 64-bit kernel 3.10,XCODE - HSW 2014,CQP_Testsuite_Encode_Linux_BDW_CENTOS_autoGFT scenarioFile=HSW_AVC_mencoder_CQP_Prog.csv TestID=27.AVC_ENCODE.PRG.Main_CABAC.320x240p
