WW,BuildComment,StreamName,TestSessionFirstRunTPT,TestSessionTotalTPT,TaskFirstRunMachineHours,TaskReRunMachineHours,TSDuration,QBBuildDuration,TotalDuration
30,manual-main-129886,Media-Encode-KBL-PreETM,28:34:04,28:34:05,18:11:31,"",56:18:01,01:05:25,57:23:26
30,manual-main-129886,Media-Decode-CNL-PreETM,30:44:39,30:44:39,100:29:26,"",56:18:01,01:05:25,57:23:26
30,manual-main-129886,Media-Decode-BXT-PreETM,29:18:22,29:18:22,230:38:41,"",56:18:01,01:05:25,57:23:26
30,manual-main-129886,Media-CP-BXT-PreETM,26:35:19,26:35:19,335:58:52,"",56:18:01,01:05:25,57:23:26
30,manual-main-129878,Media-VP-BXT-PreETM,31:50:15,31:50:16,69:32:28,"",31:50:16,00:58:15,32:48:31
30,manual-main-129878,Media-VP-KBL-PreETM,29:44:22,29:44:23,23:44:38,"",31:50:16,00:58:15,32:48:31
30,manual-main-129877,Media-VP-KBL-PreETM,28:55:15,28:55:16,47:45:03,"",28:55:52,00:50:16,29:46:08
30,manual-main-129877,Media-VP-BXT-PreETM,28:11:01,28:11:02,93:12:58,"",28:55:52,00:50:16,29:46:08
30,manual-main-129870,Media-CP-BXT-PreETM,27:13:53,27:13:54,407:58:24,"",27:13:54,01:08:28,28:22:22
30,manual-main-129705,Media-CP-BXT-PreETM,40:45:22,40:45:22,335:58:47,"",40:45:22,01:10:39,41:56:01
30,manual-main-129700,Media-CP-BXT-PreETM,42:33:18,42:33:18,359:58:39,"",42:33:18,01:09:20,43:42:38
30,manual-main-129693,Media-VP-BXT-PreETM,48:39:28,48:39:28,87:32:46,"",48:39:28,00:58:39,49:38:07
30,manual-main-129693,Media-VP-KBL-PreETM,44:48:34,44:48:34,69:54:15,"",48:39:28,00:58:39,49:38:07
30,manual-main-129691,Media-Encode-KBL-PreETM,44:34:01,44:34:01,17:51:22,"",47:48:20,01:15:47,49:04:07
